region_type,ags_5,iso,einwohner,stichtag
kreis,01001,,96326,2024-12-31
kreis,01002,,252668,2024-12-31
kreis,01003,,216889,2024-12-31
kreis,01004,,79809,2024-12-31
kreis,01051,,133460,2024-12-31
kreis,01053,,206235,2024-12-31
kreis,01054,,170029,2024-12-31
kreis,01055,,201472,2024-12-31
kreis,01056,,325223,2024-12-31
kreis,01057,,130609,2024-12-31
kreis,01058,,278058,2024-12-31
kreis,01059,,205472,2024-12-31
kreis,01060,,283562,2024-12-31
kreis,01061,,132731,2024-12-31
kreis,01062,,246974,2024-12-31
kreis,02000,,1862565,2024-12-31
kreis,03101,,252962,2024-12-31
kreis,03102,,104970,2024-12-31
kreis,03103,,129560,2024-12-31
kreis,03151,,175943,2024-12-31
kreis,03152,,0,2024-12-31
kreis,03153,,126775,2024-12-31
kreis,03154,,90227,2024-12-31
kreis,03155,,125623,2024-12-31
kreis,03156,,0,2024-12-31
kreis,03157,,137045,2024-12-31
kreis,03158,,118290,2024-12-31
kreis,03159,,328028,2024-12-31
kreis,03201,,0,2024-12-31
kreis,03241,,1140888,2024-12-31
kreis,03251,,221202,2024-12-31
kreis,03252,,150203,2024-12-31
kreis,03253,,0,2024-12-31
kreis,03254,,267506,2024-12-31
kreis,03255,,65581,2024-12-31
kreis,03256,,121468,2024-12-31
kreis,03257,,156841,2024-12-31
kreis,03351,,172449,2024-12-31
kreis,03352,,198842,2024-12-31
kreis,03353,,265864,2024-12-31
kreis,03354,,46502,2024-12-31
kreis,03355,,179448,2024-12-31
kreis,03356,,113598,2024-12-31
kreis,03357,,165904,2024-12-31
kreis,03358,,141321,2024-12-31
kreis,03359,,207700,2024-12-31
kreis,03360,,91638,2024-12-31
kreis,03361,,138626,2024-12-31
kreis,03401,,81406,2024-12-31
kreis,03402,,49202,2024-12-31
kreis,03403,,176614,2024-12-31
kreis,03404,,166057,2024-12-31
kreis,03405,,75745,2024-12-31
kreis,03451,,127751,2024-12-31
kreis,03452,,188816,2024-12-31
kreis,03453,,177025,2024-12-31
kreis,03454,,334539,2024-12-31
kreis,03455,,100411,2024-12-31
kreis,03456,,144543,2024-12-31
kreis,03457,,169103,2024-12-31
kreis,03458,,132008,2024-12-31
kreis,03459,,354821,2024-12-31
kreis,03460,,146539,2024-12-31
kreis,03461,,88936,2024-12-31
kreis,03462,,55969,2024-12-31
kreis,04011,,586271,2024-12-31
kreis,04012,,118610,2024-12-31
kreis,05111,,618685,2024-12-31
kreis,05112,,502270,2024-12-31
kreis,05113,,574682,2024-12-31
kreis,05114,,231406,2024-12-31
kreis,05116,,267213,2024-12-31
kreis,05117,,173050,2024-12-31
kreis,05119,,213646,2024-12-31
kreis,05120,,113828,2024-12-31
kreis,05122,,165626,2024-12-31
kreis,05124,,358193,2024-12-31
kreis,05154,,322018,2024-12-31
kreis,05158,,490910,2024-12-31
kreis,05162,,457077,2024-12-31
kreis,05166,,297857,2024-12-31
kreis,05170,,457918,2024-12-31
kreis,05313,,0,2024-12-31
kreis,05314,,323336,2024-12-31
kreis,05315,,1024621,2024-12-31
kreis,05316,,168581,2024-12-31
kreis,05334,,582410,2024-12-31
kreis,05354,,0,2024-12-31
kreis,05358,,279285,2024-12-31
kreis,05362,,477988,2024-12-31
kreis,05366,,202609,2024-12-31
kreis,05370,,263681,2024-12-31
kreis,05374,,274057,2024-12-31
kreis,05378,,284273,2024-12-31
kreis,05382,,605441,2024-12-31
kreis,05512,,118535,2024-12-31
kreis,05513,,267930,2024-12-31
kreis,05515,,308258,2024-12-31
kreis,05554,,380796,2024-12-31
kreis,05558,,227859,2024-12-31
kreis,05562,,621305,2024-12-31
kreis,05566,,451712,2024-12-31
kreis,05570,,282639,2024-12-31
kreis,05711,,331605,2024-12-31
kreis,05754,,363982,2024-12-31
kreis,05758,,254404,2024-12-31
kreis,05762,,139252,2024-12-31
kreis,05766,,347149,2024-12-31
kreis,05770,,320557,2024-12-31
kreis,05774,,315912,2024-12-31
kreis,05911,,358676,2024-12-31
kreis,05913,,603462,2024-12-31
kreis,05914,,190384,2024-12-31
kreis,05915,,179968,2024-12-31
kreis,05916,,155851,2024-12-31
kreis,05954,,314167,2024-12-31
kreis,05958,,260843,2024-12-31
kreis,05962,,408046,2024-12-31
kreis,05966,,132346,2024-12-31
kreis,05970,,274074,2024-12-31
kreis,05974,,300297,2024-12-31
kreis,05978,,393784,2024-12-31
kreis,06411,,167029,2024-12-31
kreis,06412,,756021,2024-12-31
kreis,06413,,132746,2024-12-31
kreis,06414,,288850,2024-12-31
kreis,06431,,274169,2024-12-31
kreis,06432,,302021,2024-12-31
kreis,06433,,268310,2024-12-31
kreis,06434,,241664,2024-12-31
kreis,06435,,420914,2024-12-31
kreis,06436,,238775,2024-12-31
kreis,06437,,93846,2024-12-31
kreis,06438,,358022,2024-12-31
kreis,06439,,185651,2024-12-31
kreis,06440,,311593,2024-12-31
kreis,06531,,268418,2024-12-31
kreis,06532,,254074,2024-12-31
kreis,06533,,173830,2024-12-31
kreis,06534,,242805,2024-12-31
kreis,06535,,101163,2024-12-31
kreis,06611,,197230,2024-12-31
kreis,06631,,222283,2024-12-31
kreis,06632,,117414,2024-12-31
kreis,06633,,231073,2024-12-31
kreis,06634,,180071,2024-12-31
kreis,06635,,155126,2024-12-31
kreis,06636,,97695,2024-12-31
kreis,07111,,113378,2024-12-31
kreis,07131,,129353,2024-12-31
kreis,07132,,132125,2024-12-31
kreis,07133,,164748,2024-12-31
kreis,07134,,82611,2024-12-31
kreis,07135,,61608,2024-12-31
kreis,07137,,217228,2024-12-31
kreis,07138,,189061,2024-12-31
kreis,07140,,106705,2024-12-31
kreis,07141,,125588,2024-12-31
kreis,07143,,207803,2024-12-31
kreis,07211,,104342,2024-12-31
kreis,07231,,113187,2024-12-31
kreis,07232,,99788,2024-12-31
kreis,07233,,59313,2024-12-31
kreis,07235,,148953,2024-12-31
kreis,07311,,48140,2024-12-31
kreis,07312,,100426,2024-12-31
kreis,07313,,48209,2024-12-31
kreis,07314,,177222,2024-12-31
kreis,07315,,224684,2024-12-31
kreis,07316,,52945,2024-12-31
kreis,07317,,39761,2024-12-31
kreis,07318,,49564,2024-12-31
kreis,07319,,86753,2024-12-31
kreis,07320,,33323,2024-12-31
kreis,07331,,131238,2024-12-31
kreis,07332,,134329,2024-12-31
kreis,07333,,74783,2024-12-31
kreis,07334,,131383,2024-12-31
kreis,07335,,106343,2024-12-31
kreis,07336,,69334,2024-12-31
kreis,07337,,113031,2024-12-31
kreis,07338,,155882,2024-12-31
kreis,07339,,206454,2024-12-31
kreis,07340,,89974,2024-12-31
kreis,08111,,612663,2024-12-31
kreis,08115,,395167,2024-12-31
kreis,08116,,536601,2024-12-31
kreis,08117,,258809,2024-12-31
kreis,08118,,535374,2024-12-31
kreis,08119,,440696,2024-12-31
kreis,08121,,131986,2024-12-31
kreis,08125,,353877,2024-12-31
kreis,08126,,115644,2024-12-31
kreis,08127,,200902,2024-12-31
kreis,08128,,133169,2024-12-31
kreis,08135,,135235,2024-12-31
kreis,08136,,317427,2024-12-31
kreis,08211,,56881,2024-12-31
kreis,08212,,309050,2024-12-31
kreis,08215,,456264,2024-12-31
kreis,08216,,230737,2024-12-31
kreis,08221,,155756,2024-12-31
kreis,08222,,318035,2024-12-31
kreis,08225,,145263,2024-12-31
kreis,08226,,558561,2024-12-31
kreis,08231,,134912,2024-12-31
kreis,08235,,161251,2024-12-31
kreis,08236,,199745,2024-12-31
kreis,08237,,121958,2024-12-31
kreis,08311,,237460,2024-12-31
kreis,08315,,272558,2024-12-31
kreis,08316,,169787,2024-12-31
kreis,08317,,444858,2024-12-31
kreis,08325,,140237,2024-12-31
kreis,08326,,214065,2024-12-31
kreis,08327,,145208,2024-12-31
kreis,08335,,291841,2024-12-31
kreis,08336,,238263,2024-12-31
kreis,08337,,171579,2024-12-31
kreis,08415,,293483,2024-12-31
kreis,08416,,233546,2024-12-31
kreis,08417,,193326,2024-12-31
kreis,08421,,129882,2024-12-31
kreis,08425,,202354,2024-12-31
kreis,08426,,207415,2024-12-31
kreis,08435,,220804,2024-12-31
kreis,08436,,291102,2024-12-31
kreis,08437,,132167,2024-12-31
kreis,09161,,141185,2024-12-31
kreis,09162,,1505005,2024-12-31
kreis,09163,,65274,2024-12-31
kreis,09171,,113938,2024-12-31
kreis,09172,,105292,2024-12-31
kreis,09173,,130248,2024-12-31
kreis,09174,,153595,2024-12-31
kreis,09175,,144225,2024-12-31
kreis,09176,,135668,2024-12-31
kreis,09177,,140127,2024-12-31
kreis,09178,,184564,2024-12-31
kreis,09179,,218227,2024-12-31
kreis,09180,,89296,2024-12-31
kreis,09181,,122107,2024-12-31
kreis,09182,,97152,2024-12-31
kreis,09183,,122037,2024-12-31
kreis,09184,,354396,2024-12-31
kreis,09185,,99364,2024-12-31
kreis,09186,,130781,2024-12-31
kreis,09187,,258637,2024-12-31
kreis,09188,,139329,2024-12-31
kreis,09189,,175144,2024-12-31
kreis,09190,,138957,2024-12-31
kreis,09261,,71863,2024-12-31
kreis,09262,,53039,2024-12-31
kreis,09263,,49002,2024-12-31
kreis,09271,,121844,2024-12-31
kreis,09272,,78710,2024-12-31
kreis,09273,,126037,2024-12-31
kreis,09274,,162170,2024-12-31
kreis,09275,,194699,2024-12-31
kreis,09276,,77267,2024-12-31
kreis,09277,,120497,2024-12-31
kreis,09278,,103041,2024-12-31
kreis,09279,,101035,2024-12-31
kreis,09361,,42553,2024-12-31
kreis,09362,,151389,2024-12-31
kreis,09363,,42444,2024-12-31
kreis,09371,,103982,2024-12-31
kreis,09372,,128534,2024-12-31
kreis,09373,,138693,2024-12-31
kreis,09374,,96049,2024-12-31
kreis,09375,,196213,2024-12-31
kreis,09376,,149312,2024-12-31
